apm_code,nombre,estado,lifecycle_status,clase_aplicacion,tipo_de_aplicacion,icr_relevant,data_protection_relevant
AP24558.31,SAP CCS SP - MKT Respostas Cliente,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24558.08,SAP CCS SP - Tax AFC,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP36220,SAP CLM AFC,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),true,false
AP36220.02,SAP CLM AFC - Business,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP36220.01,SAP CLM AFC - DH,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP10931,SAP CLOUD PLATFORM GEN,Active,Validated,Technical infrastructures,COTS (Commercial Off-The-Shelf customized),false,false
AP31969.01,SAP Concur Enel NA - Mobile App - Android,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP31969.02,SAP Concur Enel NA - Mobile App - IOS,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP31969,SAP Concur Enel North America,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),true,false
AP35923,SAP Concur Expenses Enel MX,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP35923.01,SAP Concur Expenses Enel MX Android,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP35923.02,SAP Concur Expenses Enel MX iOS,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP35998,SAP CORPORATE MODEL,In Review,Definition,,,false,false
AP24559.12,SAP CRM SP - MKT Perfil (TI),Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24559.10,SAP CRM SP - Suporte AMS,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP04755.03,SAP E4E F4P_GL_AFC Operational Reporting_BI,Active,Decommissioning,Business Analytics,COTS (Commercial Off-The-Shelf customized),false,false
AP04761.20,SAP E4E S4P_IT_Finance_IHC,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,false
AP04534,SAP ECC (PRP) IT,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP04534.08,SAP ECC (PRP) IT -- CO,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP03316,SAP ECC (W5P) RUSSIA,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP04976,SAP ECC ENEL M@P (MAP),Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP04976.08,SAP ECC ENEL M@P (MAP)-- MM,Active,Read Only,Business Transactional,Custom (developed from the scratch),false,false
AP04976.07,SAP ECC ENEL M@P (MAP)--CO,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP04976.02,SAP ECC ENEL M@P (MAP)--FI,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP04976.09,SAP ECC ENEL M@P (MAP)--INFRA,Active,Read Only,Technical infrastructures,COTS (Commercial Off-The-Shelf customized),false,false
AP04976.06,SAP ECC ENEL M@P (MAP)--SD,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP01711,SAP EDESUR,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,false
AP01711.03,SAP EDESUR AA,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
